match_id,match_won_by,toss_winner,toss_decision,venue,team1,team2
335982,Kolkata Knight Riders,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore
335983,Chennai Super Kings,Chennai Super Kings,bat,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab
335984,Delhi Daredevils,Rajasthan Royals,bat,Feroz Shah Kotla,Rajasthan Royals,Delhi Daredevils
335985,Royal Challengers Bangalore,Mumbai Indians,bat,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore
335986,Kolkata Knight Riders,Deccan Chargers,bat,Eden Gardens,Deccan Chargers,Kolkata Knight Riders
335987,Rajasthan Royals,Kings XI Punjab,bat,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals
335988,Delhi Daredevils,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Delhi Daredevils
335989,Chennai Super Kings,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians
335990,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Rajasthan Royals
335991,Kings XI Punjab,Mumbai Indians,field,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians
335992,Rajasthan Royals,Rajasthan Royals,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals
335993,Chennai Super Kings,Kolkata Knight Riders,bat,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,Chennai Super Kings
335994,Deccan Chargers,Deccan Chargers,field,Dr DY Patil Sports Academy,Mumbai Indians,Deccan Chargers
335995,Kings XI Punjab,Delhi Daredevils,bat,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils,Kings XI Punjab
335996,Chennai Super Kings,Chennai Super Kings,bat,M Chinnaswamy Stadium,Chennai Super Kings,Royal Challengers Bangalore
335997,Mumbai Indians,Kolkata Knight Riders,bat,Eden Gardens,Kolkata Knight Riders,Mumbai Indians
335998,Delhi Daredevils,Royal Challengers Bangalore,field,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore
