matchId,team1,team2,tossWinner,venue,team1_runs,team2_runs,winner,team1_win
10,England,South Africa,South Africa,Trent Bridge,111,114,South Africa,0
100,Pakistan,Australia,Australia,Dubai International Cricket Stadium,176,177,Australia,0
1000,South Africa,Pakistan,Pakistan,R Premadasa Stadium,133,136,Pakistan,0
1001,West Indies,Australia,West Indies,"Brisbane Cricket Ground, Woolloongabba",191,164,West Indies,1
1004,South Africa,India,India,New Wanderers Stadium,126,127,India,0
1013,West Indies,Pakistan,West Indies,"Beausejour Stadium, Gros Islet",150,143,West Indies,1
1014,Pakistan,New Zealand,New Zealand,Eden Park,143,146,New Zealand,0
1018,Sri Lanka,Pakistan,Pakistan,Sheikh Zayed Stadium,141,142,Pakistan,0
1021,New Zealand,South Africa,South Africa,Seddon Park,173,174,South Africa,0
1024,South Africa,Australia,Australia,New Wanderers Stadium,204,205,Australia,0
1025,South Africa,Pakistan,South Africa,The Wanderers Stadium,188,181,South Africa,1
1027,India,South Africa,South Africa,M.Chinnaswamy Stadium,134,140,South Africa,0
1028,Pakistan,England,England,"Old Trafford, Manchester",154,155,England,0
1030,Afghanistan,New Zealand,New Zealand,"Zayed Cricket Stadium, Abu Dhabi",124,125,New Zealand,0
1031,Sri Lanka,India,India,Shere Bangla National Stadium,138,142,India,0
1033,Afghanistan,Netherlands,Netherlands,Sharjah Cricket Stadium,90,92,Netherlands,0
1034,Sri Lanka,Bangladesh,Bangladesh,"R.Premadasa Stadium, Khettarama",214,215,Bangladesh,0
1035,Bangladesh,Sri Lanka,Sri Lanka,Zahur Ahmed Chowdhury Stadium,120,123,Sri Lanka,0
1036,Bangladesh,Zimbabwe,Bangladesh,Zahur Ahmed Chowdhury Stadium,175,136,Bangladesh,1
1037,Sri Lanka,West Indies,Sri Lanka,Pallekele International Cricket Stadium,215,185,Sri Lanka,1
1041,India,Sri Lanka,Sri Lanka,"Beausejour Stadium, Gros Islet",163,167,Sri Lanka,0
1042,South Africa,Pakistan,Pakistan,Gaddafi Stadium,164,169,Pakistan,0
1044,South Africa,Sri Lanka,South Africa,The Wanderers Stadium,198,137,South Africa,1
1049,New Zealand,Pakistan,Pakistan,Dubai International Cricket Stadium,135,140,Pakistan,0
1053,Sri Lanka,England,England,"Sophia Gardens, Cardiff",129,130,England,0
1055,England,New Zealand,England,Jade Stadium,193,143,England,1
1059,India,South Africa,South Africa,Himachal Pradesh Cricket Association Stadium,199,200,South Africa,0
1066,South Africa,England,South Africa,SuperSport Park,241,157,South Africa,1
1068,Sri Lanka,England,Sri Lanka,The Rose Bowl,163,161,Sri Lanka,1
1074,England,Netherlands,Netherlands,Lord's,162,163,Netherlands,0
1077,Sri Lanka,India,India,Wankhede Stadium,135,139,India,0
1078,Ireland,Zimbabwe,Zimbabwe,Bready,171,172,Zimbabwe,0
1079,Zimbabwe,Bangladesh,Bangladesh,Harare Sports Club,193,194,Bangladesh,0
1080,Bangladesh,India,India,"R.Premadasa Stadium, Khettarama",166,168,India,0
1081,Australia,New Zealand,Australia,Sydney Cricket Ground,150,149,Australia,1
1083,Australia,West Indies,West Indies,"Kensington Oval, Bridgetown",97,102,West Indies,0
1084,Sri Lanka,West Indies,Sri Lanka,Kennington Oval,158,101,Sri Lanka,1
1087,West Indies,Australia,West Indies,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",196,140,West Indies,1
1089,Zimbabwe,Afghanistan,Afghanistan,Queens Sports Club,153,154,Afghanistan,0
1090,Bangladesh,New Zealand,New Zealand,McLean Park,141,143,New Zealand,0
1092,Ireland,Australia,Australia,R Premadasa Stadium,123,125,Australia,0
1093,Sri Lanka,South Africa,South Africa,Feroz Shah Kotla,120,122,South Africa,0
1099,Pakistan,Australia,Pakistan,Dubai International Cricket Stadium,147,136,Pakistan,1
11,South Africa,England,England,Newlands,191,192,England,0
110,Sri Lanka,India,Sri Lanka,"Vidarbha Cricket Association Stadium, Jamtha",215,186,Sri Lanka,1
1101,South Africa,Australia,South Africa,New Wanderers Stadium,201,199,South Africa,1
1106,West Indies,India,India,Shere Bangla National Stadium,129,130,India,0
111,England,Pakistan,Pakistan,County Ground,144,148,Pakistan,0
1112,New Zealand,Australia,New Zealand,University Oval,219,215,New Zealand,1
1118,South Africa,Australia,Australia,SuperSport Park,128,129,Australia,0
1122,South Africa,New Zealand,South Africa,Lord's,128,127,South Africa,1
1125,India,West Indies,West Indies,Wankhede Stadium,192,196,West Indies,0
1126,Bangladesh,West Indies,West Indies,"Warner Park, Basseterre",118,119,West Indies,0
1128,New Zealand,Bangladesh,New Zealand,Bay Oval,195,148,New Zealand,1
1129,West Indies,New Zealand,West Indies,"Windsor Park, Roseau",165,126,West Indies,1
1133,Australia,South Africa,South Africa,Adelaide Oval,144,145,South Africa,0
1135,South Africa,New Zealand,South Africa,Eden Park,185,107,South Africa,1
1137,Netherlands,Bangladesh,Bangladesh,Sportpark Westvliet,144,145,Bangladesh,0
1139,Ireland,India,India,Trent Bridge,112,113,India,0
1144,New Zealand,Pakistan,New Zealand,Dubai International Cricket Stadium,144,127,New Zealand,1
